"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"55353",112.113552251078,1.33943133865564,0.206459170090434,6.4876330659904,8.71953203511188e-11,2.11017045942457e-09
"3690",3188.46033375743,2.55323989431887,0.393805072961723,6.4835119444158,8.96117800512415e-11,2.16052771079847e-09
"2791",563.745583284336,1.8194033017948,0.280783672311329,6.47973326517888,9.18849098051349e-11,2.20981491675811e-09
"5866",12.1412078515638,2.93555403626228,0.453081384463511,6.4790877244675,9.22788437700478e-11,2.21652864538204e-09
"10867",25.1380792789758,2.32261880872974,0.358675537495066,6.4755428400569,9.44716779394823e-11,2.26638142157426e-09
"3672",151.835459141811,2.07450999259604,0.32045801354486,6.47357814413226,9.57088791872316e-11,2.29037159214847e-09
"338773",45.4454796581991,1.96818691640994,0.304088890385336,6.47240651875144,9.64541958958215e-11,2.30535078111399e-09
"8208",98.1062071195713,1.00067481520816,0.154702132139423,6.46839705031551,9.90479619734807e-11,2.36149906374304e-09
"5798",22.1543431675628,2.32455676400884,0.359474562970103,6.46654034377995,1.00272065686812e-10,2.38186240165278e-09
"8348",21.8097733074985,3.72693752773143,0.576712386177386,6.4623850936073,1.03065403821253e-10,2.43996793597028e-09
"4233",15.6521741667141,2.81071269560951,0.434937406764348,6.46233837765161,1.03097236731139e-10,2.43996793597028e-09
"140876",74.5316951877582,1.63498984985233,0.25350514627159,6.44953317082052,1.12195203045296e-10,2.63911542169397e-09
"6535",88.0357666731593,2.6790520364523,0.41574247491688,6.4440181075747,1.16351194168314e-10,2.73022389037483e-09
"28421",9.28448509066153,2.86314537769333,0.444337733794895,6.44362420729038,1.16653717070282e-10,2.73400070881224e-09
"101928489",12.2196765358893,1.70772295059857,0.265877662029575,6.42296512449628,1.33645120245975e-10,3.11709488187231e-09
"90952",582.500460713612,2.05368564165,0.319845612649557,6.42086544391698,1.35501761625669e-10,3.15278315724688e-09
"107986350",10.4602503686409,2.64981783857907,0.413016415085592,6.41576882127053,1.40113932603952e-10,3.24446075113613e-09
"105374985",59.4107180640463,2.12911304851515,0.331854080596838,6.41581096331843,1.40075174474702e-10,3.24446075113613e-09
"5046",270.288578553105,2.3033546933714,0.359317948187664,6.41035246079165,1.45183595031817e-10,3.35381051106991e-09
"9911",246.410535184429,2.09335922291463,0.326639477982468,6.40877592581442,1.46692601472012e-10,3.38462069250597e-09
"100505881",34.7550331906439,2.69193359664064,0.420092501706328,6.4079544045813,1.47484997537636e-10,3.39884280721578e-09
"3696",21.905486162928,1.70801553951368,0.266921690163356,6.39893872419427,1.56460611498842e-10,3.58430288169115e-09
"23495",237.493626721538,1.58889198098956,0.248375582670407,6.39713438779534,1.58319979961282e-10,3.62260124764488e-09
"3304",1296.23215500817,-1.79361115510055,0.280607565982169,-6.39188451253135,1.63853637827492e-10,3.73594032316945e-09
"28884",25.6090159417597,2.94055014644514,0.460154131910144,6.39035910476049,1.65496633370113e-10,3.76451234822571e-09
"5577",1261.61777774149,1.96204413742685,0.307025475526803,6.3904929519621,1.65351826494126e-10,3.76451234822571e-09
"91768",26.5712385342451,1.5894271941202,0.248751626963219,6.38961527015548,1.6630363523541e-10,3.77537121542172e-09
